id,label,region
1,Route 29,EU
2,Route 30,EU
3,Route 31,EU
4,Route 32,EU
5,Route 33,EU
6,Route 34,EU
7,Route 35,EU
8,Route 36,EU
9,Route 37,EU
10,Route 38,EU
11,Route 39,EU
12,Route 40,EU
13,Route 41,EU
14,Route 42,EU
15,Route 43,EU
16,Route 44,EU
17,Route 45,EU
18,Route 46,EU
19,Route 47,EU
20,Route 48,EU
21,Route 1,EU
22,Route 2,EU
23,Route 3,EU
24,Route 4,EU
25,Route 5,EU
26,Route 6,EU
27,Route 7,EU
28,Route 8,EU
29,Route 9,EU
30,Route 10,EU
31,Route 11,EU
32,Route 12,EU
33,Route 13,EU
34,Route 14,EU
35,Route 15,EU
36,Route 16,EU
37,Route 17,EU
38,Route 18,EU
39,Route 19,EU
40,Route 20,EU
41,Route 21,EU
42,Route 22,EU
43,Route 24,EU
44,Route 25,EU
45,Route 26,EU
46,Route 27,EU
47,Route 28,EU
100,New Bark Town,EU
101,Cherrygrove City,EU
102,Violet City,EU
103,Azalea Town,EU
104,Goldenrod City,EU
105,Ecruteak City,EU
106,Olivine City,EU
107,Cianwood City,EU
108,Mahogany Town,EU
109,Blackthorn City,EU
110,Elite Four,EU
111,Champion,EU
112,Dark Cave,EU
113,Ruins of Alph,EU
114,Union Cave,EU
115,Slowpoke Well,EU
116,Ilex Forest,EU
117,National Park,EU
118,Radio Tower,EU
119,Tin Tower,EU
120,Whirl Islands,EU
121,Mt. Silver,EU
122,Tohjo Falls,EU
123,Victory Road,EU
200,Pallet Town,EU
201,Viridian City,EU
202,Pewter City,EU
203,Cerulean City,EU
204,Vermilion City,EU
205,Lavender Town,EU
206,Celadon City,EU
207,Fuchsia City,EU
208,Saffron City,EU
209,Cinnabar Island,EU
210,Indigo Plateau,EU
211,Viridian Forest,EU
212,Mt. Moon,EU
213,Cerulean Cave,EU
214,Rock Tunnel,EU
215,Power Plant,EU
216,Pokemon Tower,EU
217,Silph Co.,EU
218,Safari Zone,EU
219,Seafoam Islands,EU
220,Pokemon Mansion,EU
221,Diglett's Cave,EU
222,S.S. Anne,EU
223,Bill's House,EU
224,Day Care,EU
225,Game Corner,EU
226,Bike Shop,EU
227,Name Rater,EU
228,Move Deleter,EU
229,Move Reminder,EU
230,Move Tutor,EU
